player,team,GP,Goals,Assists,Points,+/-,PIM,GWG,OTG,PPGoals,PPAssists,ShGoals,ShAssists,S,S%,P/G
"Kucherov,Nikita",TB,82,41,87,128,24,62,8,0,0,33,0,0,246,16.7%,1.6
"McDavid,Connor",EDM,78,41,75,116,3,20,9,3,0,24,1,1,240,17.1%,1.5
"Kane,Patrick",CHI,81,44,66,110,2,22,7,3,0,21,0,0,341,12.9%,1.4
"Draisaitl,Leon",EDM,82,50,55,105,2,52,5,3,0,13,3,0,231,21.6%,1.3
"Crosby,Sidney",PIT,79,35,65,100,18,36,3,1,0,17,0,2,220,15.9%,1.3
"Marchand,Brad",BOS,79,36,64,100,15,96,9,3,0,24,3,4,231,15.6%,1.3
"MacKinnon,Nathan",COL,82,41,58,99,20,34,6,1,0,25,0,0,365,11.2%,1.2
"Gaudreau,Johnny",CGY,82,36,63,99,18,24,8,3,0,21,0,0,245,14.7%,1.2
"Stamkos,Steven",TB,82,45,53,98,4,37,6,0,0,21,2,0,234,19.2%,1.2
"Barkov,Aleksander",FLA,82,35,61,96,-3,8,5,2,0,18,0,1,206,17.0%,1.2
"Marner,Mitchell",TOR,82,26,68,94,22,22,5,0,0,18,1,2,233,11.2%,1.2
"Huberdeau,Jonathan",FLA,82,30,62,92,-14,40,5,0,0,23,0,0,226,13.3%,1.1
"Point,Brayden",TB,79,41,51,92,27,28,7,2,0,15,0,0,191,21.5%,1.2
"Wheeler,Blake",WPG,82,20,71,91,0,60,3,0,0,31,2,1,231,8.7%,1.1
"Ovechkin,Alex",WSH,81,51,38,89,7,40,5,0,0,10,0,0,338,15.1%,1.1
"Tavares,John",TOR,82,47,41,88,19,34,8,1,0,9,0,0,286,16.4%,1.1
"Panarin,Artemi",CBJ,79,28,59,87,14,23,8,4,0,12,0,0,191,14.7%,1.1
"Rantanen,Mikko",COL,74,31,56,87,13,54,4,1,0,17,0,0,193,16.1%,1.2
"Giroux,Claude",PHI,82,22,63,85,9,24,4,1,0,21,1,0,229,9.6%,1.0
"Scheifele,Mark",WPG,82,38,46,84,8,38,6,3,0,11,0,3,199,19.1%,1.0
"Burns,Brent",SJ,82,16,67,83,13,34,6,2,0,21,1,4,300,5.3%,1.0
"Aho,Sebastian",CAR,82,30,53,83,25,26,7,3,0,21,4,1,243,12.3%,1.0
"Kessel,Phil",PIT,82,27,55,82,-19,28,10,2,0,24,0,0,215,12.6%,1.0
"Monahan,Sean",CGY,78,34,48,82,7,12,5,0,0,11,0,0,211,16.1%,1.1
"Eichel,Jack",BUF,77,28,54,82,-11,26,2,2,0,18,0,0,303,9.2%,1.1
"Toews,Jonathan",CHI,82,35,46,81,2,40,5,2,0,14,1,0,235,14.9%,1.0
"Pastrnak,David",BOS,66,38,43,81,6,32,4,0,0,16,0,0,235,16.2%,1.2
"Seguin,Tyler",DAL,82,33,47,80,17,18,8,2,0,18,0,0,334,9.9%,1.0
"Bergeron,Patrice",BOS,65,32,47,79,23,30,3,1,0,18,4,3,205,15.6%,1.2
"Lindholm,Elias",CGY,81,27,51,78,30,20,5,0,0,17,1,3,182,14.8%,1.0
"O'Reilly,Ryan",STL,82,28,49,77,22,12,5,2,0,16,1,2,234,12.0%,0.9
"Tkachuk,Matthew",CGY,80,34,43,77,14,62,2,0,0,13,0,0,207,16.4%,1.0
"Couturier,Sean",PHI,80,33,43,76,2,34,5,1,0,9,1,0,223,14.8%,1.0
"Teravainen,Teuvo",CAR,82,21,55,76,30,12,1,1,0,16,1,4,167,12.6%,0.9
"Guentzel,Jake",PIT,82,40,36,76,13,26,4,1,0,5,1,0,227,17.6%,0.9
